#Data tag : 24v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
278289:5170,08/05/16 21:18:02,54,HLT_PFJet140_v6,0.000004729,0.000003748
278290:5170,08/05/16 21:42:34,11,HLT_PFJet140_v6,0.000001037,0.000000960
278308:5173,08/06/16 13:00:39,1750,HLT_PFJet140_v6,0.000143323,0.000136004
278310:5173,08/07/16 00:47:36,709,HLT_PFJet140_v6,0.000052127,0.000050394
278315:5179,08/07/16 10:56:52,693,HLT_PFJet140_v6,0.000060577,0.000055861
278345:5181,08/08/16 00:13:39,748,HLT_PFJet140_v6,0.000062944,0.000057834
278346:5181,08/08/16 05:08:15,141,HLT_PFJet140_v6,0.000013554,0.000011168
278349:5181,08/08/16 06:27:06,617,HLT_PFJet140_v6,0.000061612,0.000058341
278366:5181,08/08/16 10:36:47,453,HLT_PFJet140_v6,0.000049330,0.000047592
278406:5183,08/08/16 17:15:50,1597,HLT_PFJet140_v6,0.000139964,0.000133192
278509:5187,08/09/16 18:29:15,1467,HLT_PFJet140_v6,0.000127152,0.000118771
278769:5197,08/13/16 06:38:56,31,HLT_PFJet140_v6,0.000002717,0.000002430
278770:5197,08/13/16 06:54:00,767,HLT_PFJet140_v6,0.000058986,0.000056534
278801:5198,08/13/16 14:43:37,42,HLT_PFJet140_v6,0.000003765,0.000002631
278802:5198,08/13/16 15:01:05,17,HLT_PFJet140_v6,0.000001359,0.000000575
278803:5198,08/13/16 15:10:53,323,HLT_PFJet140_v6,0.000023566,0.000021495
278804:5198,08/13/16 17:20:06,5,HLT_PFJet140_v6,0.000000959,0.000000629
278805:5198,08/13/16 17:23:10,285,HLT_PFJet140_v6,0.000022243,0.000020036
278808:5198,08/13/16 19:25:19,1791,HLT_PFJet140_v6,0.000170395,0.000164115
278820:5199,08/14/16 11:00:51,1524,HLT_PFJet140_v6,0.000131160,0.000125508
278822:5199,08/14/16 21:52:47,1627,HLT_PFJet140_v6,0.000165724,0.000160555
278873:5205,08/15/16 23:25:45,60,HLT_PFJet140_v6,0.000004998,0.000000919
278874:5205,08/15/16 23:51:53,484,HLT_PFJet140_v6,0.000041855,0.000038720
278875:5205,08/16/16 03:01:20,834,HLT_PFJet140_v6,0.000077164,0.000073595
278923:5206,08/16/16 12:16:32,413,HLT_PFJet140_v6,0.000033074,0.000031665
278957:5209,08/16/16 21:31:36,149,HLT_PFJet140_v6,0.000012718,0.000012191
278962:5210,08/17/16 01:08:31,348,HLT_PFJet140_v6,0.000025144,0.000022891
278963:5210,08/17/16 03:24:57,174,HLT_PFJet140_v6,0.000012524,0.000012045
278969:5211,08/17/16 07:16:52,1394,HLT_PFJet140_v6,0.000119807,0.000114046
278975:5211,08/17/16 16:23:16,854,HLT_PFJet140_v6,0.000079329,0.000075165
278976:5211,08/17/16 21:58:16,20,HLT_PFJet140_v6,0.000002126,0.000002046
278986:5213,08/18/16 04:02:59,129,HLT_PFJet140_v6,0.000011345,0.000010637
279024:5219,08/18/16 22:31:53,301,HLT_PFJet140_v6,0.000029134,0.000027702
279029:5219,08/19/16 02:19:40,260,HLT_PFJet140_v6,0.000022473,0.000021362
279071:5222,08/19/16 15:40:07,174,HLT_PFJet140_v6,0.000016038,0.000015416
279080:5223,08/19/16 22:42:50,157,HLT_PFJet140_v6,0.000013968,0.000013556
